"","upc","description","manufacturer","size_in_oz","log_units_coef"
"24",3800039118,"KELL FROOT LOOPS","KELLOGG",12.2,-4.426
"31",7192100336,"DIGIORNO THREE MEAT","TOMBSTONE",29.8,-4.136
"35",7218063979,"FRSC PEPPERONI PIZZA","TONYS",27.35,-4.116
"34",7218063052,"FRSC BRCK OVN ITL PEP PZ","TONYS",22.7,-3.997
"32",7192100337,"DIGRN SUPREME PIZZA","TOMBSTONE",32.7,-3.743
"21",3000006610,"QKER CAP N CRUNCH","QUAKER",14,-3.598
"33",7192100339,"DIGRN PEPP PIZZA","TOMBSTONE",28.3,-3.592
"36",7218063983,"FRSC 4 CHEESE PIZZA","TONYS",26.11,-3.528
"9",1111087398,"PL SR CRUST PEPPRN PIZZA","PRIVATE LABEL",29.6,-3.471
"13",2066200530,"NWMN OWN PEPPERONI PIZZA","KING",13.2,-3.416
"19",3000006340,"QKER LIFE ORIGINAL","QUAKER",13,-3.391
"14",2066200531,"NWMN OWN 4 CHEESE PIZZA","KING",13.3,-3.378
"7",1111087395,"PL SR CRUST SUPRM PIZZA","PRIVATE LABEL",32.7,-3.288
"15",2066200532,"NWMN OWN SUPREME PIZZA","KING",14.7,-3.276
"42",88491212971,"POST FRUITY PEBBLES","POST FOODS",11,-3.221
"20",3000006560,"QKER CAP N CRUNCH BERRIES","QUAKER",13,-3.142
"30",7110410471,"MKSL PRETZEL STICKS","MKSL",16,-3.03
"23",3800031838,"KELL FROSTED FLAKES","KELLOGG",15,-2.971
"11",1600027528,"GM CHEERIOS","GENERAL MI",18,-2.795
"17",2840004768,"RLDGLD TINY TWISTS PRTZL","FRITO LAY",16,-2.768
"18",2840004770,"RLDGLD PRETZEL STICKS","FRITO LAY",16,-2.76
"28",7110410455,"MKSL MINI TWIST PRETZELS","MKSL",16,-2.696
"10",1600027527,"GM HONEY NUT CHEERIOS","GENERAL MI",12.25,-2.66
"8",1111087396,"PL SR CRUST 3 MEAT PIZZA","PRIVATE LABEL",30.5,-2.655
"41",88491201427,"POST FM SZ HNYBNCH OT ALM","POST FOODS",18,-2.584
"38",7797508004,"SNYDR SOURDOUGH NIBBLERS","SNYDER S",16,-2.25
"40",88491201426,"POST HNY BN OTS HNY RSTD","POST FOODS",18,-2.212
"39",7797508006,"SNYDR FF MINI PRETZELS","SNYDER S",16,-2.156
"16",2840002333,"RLDGLD BRAIDED HONEY WHT","FRITO LAY",10,-2.112
"37",7797502248,"SNYDR PRETZEL RODS","SNYDER S",10,-2.109
"29",7110410470,"MKSL DUTCH PRETZELS","MKSL",16,-2.052
"22",3800031829,"KELL BITE SIZE MINI WHEAT","KELLOGG",18,-2.047
"6",1111085350,"PL BT SZ FRSTD SHRD WHT","PRIVATE LABEL",18,-1.635
"2",1111009497,"PL PRETZEL STICKS","PRIVATE LABEL",15,-1.278
"3",1111009507,"PL TWIST PRETZELS","PRIVATE LABEL",15,-1.253
"4",1111085319,"PL HONEY NUT TOASTD OATS","PRIVATE LABEL",12.25,-1.236
"5",1111085345,"PL RAISIN BRAN","PRIVATE LABEL",20,-1.149
"1",1111009477,"PL MINI TWIST PRETZELS","PRIVATE LABEL",15,-0.911
"12",1600027564,"GM CHEERIOS","GENERAL MI",12,-0.733
"25",7027312504,"SHURGD PRETZEL RODS","SHULTZ",12,-0.417
"26",7027316204,"SHURGD MINI PRETZELS","SHULTZ",16,-0.353
"27",7027316404,"SHURGD PRETZEL STICKS","SHULTZ",16,-0.246
